"Label (Grouping)","Androscoggin County, Maine!!Estimate","Androscoggin County, Maine!!Margin of Error","Aroostook County, Maine!!Estimate","Aroostook County, Maine!!Margin of Error","Cumberland County, Maine!!Estimate","Cumberland County, Maine!!Margin of Error","Franklin County, Maine!!Estimate","Franklin County, Maine!!Margin of Error","Hancock County, Maine!!Estimate","Hancock County, Maine!!Margin of Error","Kennebec County, Maine!!Estimate","Kennebec County, Maine!!Margin of Error","Knox County, Maine!!Estimate","Knox County, Maine!!Margin of Error","Lincoln County, Maine!!Estimate","Lincoln County, Maine!!Margin of Error","Oxford County, Maine!!Estimate","Oxford County, Maine!!Margin of Error","Penobscot County, Maine!!Estimate","Penobscot County, Maine!!Margin of Error","Piscataquis County, Maine!!Estimate","Piscataquis County, Maine!!Margin of Error","Sagadahoc County, Maine!!Estimate","Sagadahoc County, Maine!!Margin of Error","Somerset County, Maine!!Estimate","Somerset County, Maine!!Margin of Error","Waldo County, Maine!!Estimate","Waldo County, Maine!!Margin of Error","Washington County, Maine!!Estimate","Washington County, Maine!!Margin of Error","York County, Maine!!Estimate","York County, Maine!!Margin of Error"
"Total:","53,023","±924","28,743","±664","161,192","±1,594","14,194","±497","27,428","±565","59,308","±1,093","19,092","±594","15,933","±499","25,409","±813","72,067","±1,251","6,419","±314","18,364","±484","21,835","±666","18,516","±468","12,397","±355","108,627","±1,391"
"    Speak only English","49,172","±1,026","25,062","±692","149,937","±1,663","13,768","±519","26,547","±591","57,287","±1,113","18,340","±656","15,521","±514","24,903","±810","69,299","±1,349","6,302","±305","17,689","±557","21,379","±664","17,753","±501","11,784","±354","101,759","±1,275"
"    Speak Spanish:","757","±216","135","±63","2,216","±479","205","±133","151","±74","478","±147","269","±164","51","±25","101","±53","607","±168","18","±18","165","±99","170","±83","188","±76","206","±68","920","±199"
"        Speak English ""very well""","608","±188","132","±63","1,780","±354","139","±65","129","±71","420","±146","217","±135","28","±17","86","±49","482","±146","18","±18","162","±100","156","±79","170","±75","89","±53","682","±185"
"        Speak English less than ""very well""","149","±97","3","±4","436","±253","66","±90","22","±18","58","±47","52","±66","23","±20","15","±21","125","±81","0","±17","3","±5","14","±22","18","±14","117","±55","238","±147"
"    Speak other languages:","3,094","±419","3,546","±387","9,039","±761","221","±64","730","±161","1,543","±320","483","±196","361","±103","405","±144","2,161","±313","99","±53","510","±162","286","±89","575","±232","407","±77","5,948","±857"
"        Speak English ""very well""","2,268","±393","3,233","±363","6,102","±644","150","±62","473","±158","1,228","±292","449","±191","296","±97","313","±104","1,775","±301","55","±34","384","±129","236","±83","550","±233","382","±73","4,214","±783"
"        Speak English less than ""very well""","826","±214","313","±98","2,937","±465","71","±52","257","±88","315","±111","34","±39","65","±47","92","±91","386","±137","44","±35","126","±93","50","±39","25","±19","25","±19","1,734","±388"
"    Car, truck, or van - drove alone:","40,518","±1,349","23,335","±689","117,874","±1,921","10,711","±567","20,103","±676","46,586","±963","14,191","±624","12,434","±495","20,751","±696","57,245","±1,358","4,884","±285","14,815","±593","17,324","±705","14,039","±580","9,250","±360","87,292","±1,667"
"        Speak only English","37,841","±1,326","20,325","±712","110,612","±1,811","10,485","±570","19,397","±696","45,179","±990","13,793","±652","12,163","±511","20,373","±696","55,171","±1,421","4,831","±282","14,367","±601","16,937","±693","13,715","±588","8,932","±357","81,958","±1,516"
"        Speak Spanish:","396","±109","107","±59","1,442","±320","113","±75","102","±58","290","±137","171","±153","24","±15","46","±31","384","±120","8","±10","64","±47","142","±78","73","±32","71","±34","810","±180"
"            Speak English ""very well""","311","±120","104","±60","1,170","±278","105","±65","89","±54","246","±131","119","±141","20","±13","31","±25","332","±111","8","±10","61","±47","128","±74","64","±30","42","±23","590","±171"
"            Speak English less than ""very well""","85","±59","3","±4","272","±132","8","±49","13","±15","44","±39","52","±66","4","±6","15","±21","52","±43","0","±17","3","±5","14","±22","9","±13","29","±23","220","±149"
"        Speak other languages:","2,281","±355","2,903","±337","5,820","±662","113","±57","604","±160","1,117","±248","227","±93","247","±89","332","±132","1,690","±328","45","±21","384","±147","245","±82","251","±87","247","±52","4,524","±763"
"            Speak English ""very well""","1,741","±346","2,701","±325","3,914","±536","104","±54","393","±150","905","±215","193","±82","188","±86","266","±96","1,402","±309","23","±15","304","±128","206","±77","231","±88","235","±50","3,359","±717"
"            Speak English less than ""very well""","540","±143","202","±70","1,906","±362","9","±10","211","±78","212","±90","34","±39","59","±45","66","±84","288","±129","22","±13","80","±78","39","±35","20","±18","12","±9","1,165","±236"
"    Car, truck, or van - carpooled:","6,412","±777","2,687","±296","13,484","±1,092","1,383","±286","3,201","±429","5,881","±634","1,865","±368","1,563","±286","2,092","±313","6,373","±611","794","±172","1,284","±307","2,173","±402","1,637","±238","1,623","±169","8,682","±808"
"        Speak only English","5,729","±764","2,427","±274","12,300","±1,083","1,247","±285","3,147","±426","5,719","±624","1,785","±363","1,515","±280","2,035","±306","5,970","±590","772","±172","1,165","±292","2,153","±401","1,553","±226","1,458","±162","8,129","±839"
"        Speak Spanish:","259","±136","10","±13","280","±224","58","±86","16","±20","22","±29","40","±51","4","±6","0","±26","132","±83","0","±17","24","±39","12","±19","48","±36","71","±58","47","±57"
"            Speak English ""very well""","234","±126","10","±13","145","±102","0","±20","16","±20","8","±14","40","±51","4","±6","0","±26","98","±64","0","±17","24","±39","12","±19","39","±30","11","±14","39","±56"
"            Speak English less than ""very well""","25","±31","0","±26","135","±196","58","±86","0","±26","14","±24","0","±23","0","±23","0","±26","34","±50","0","±17","0","±23","0","±26","9","±11","60","±58","8","±14"
"        Speak other languages:","424","±152","250","±89","904","±225","78","±54","38","±48","140","±72","40","±38","44","±33","57","±48","271","±115","22","±24","95","±80","8","±8","36","±28","94","±45","506","±184"
"            Speak English ""very well""","238","±102","221","±86","660","±209","20","±16","38","±48","124","±70","40","±38","41","±31","34","±35","222","±102","0","±17","49","±63","8","±8","36","±28","91","±43","217","±116"
"            Speak English less than ""very well""","186","±116","29","±20","244","±138","58","±51","0","±26","16","±14","0","±23","3","±4","23","±29","49","±45","22","±24","46","±47","0","±26","0","±23","3","±6","289","±148"
"    Public transportation (excluding taxicab):","73","±50","25","±26","1,860","±318","4","±6","166","±106","54","±47","59","±50","21","±18","76","±88","302","±128","2","±3","45","±43","14","±22","101","±66","19","±14","770","±199"
"        Speak only English","51","±43","25","±26","1,285","±230","4","±6","145","±94","54","±47","59","±50","21","±18","75","±89","302","±128","1","±2","45","±43","14","±22","101","±66","18","±14","685","±179"
"        Speak Spanish:","5","±10","0","±26","10","±17","0","±20","21","±49","0","±26","0","±23","0","±23","1","±3","0","±26","0","±17","0","±23","0","±26","0","±23","0","±23","10","±21"
"            Speak English ""very well""","5","±10","0","±26","10","±17","0","±20","21","±49","0","±26","0","±23","0","±23","1","±3","0","±26","0","±17","0","±23","0","±26","0","±23","0","±23","0","±26"
"            Speak English less than ""very well""","0","±26","0","±26","0","±26","0","±20","0","±26","0","±26","0","±23","0","±23","0","±26","0","±26","0","±17","0","±23","0","±26","0","±23","0","±23","10","±21"
"        Speak other languages:","17","±20","0","±26","565","±217","0","±20","0","±26","0","±26","0","±23","0","±23","0","±26","0","±26","1","±2","0","±23","0","±26","0","±23","1","±3","75","±62"
"            Speak English ""very well""","0","±26","0","±26","407","±185","0","±20","0","±26","0","±26","0","±23","0","±23","0","±26","0","±26","1","±2","0","±23","0","±26","0","±23","1","±3","74","±63"
"            Speak English less than ""very well""","17","±20","0","±26","158","±90","0","±20","0","±26","0","±26","0","±23","0","±23","0","±26","0","±26","0","±17","0","±23","0","±26","0","±23","0","±23","1","±3"
"    Walked:","1,794","±321","1,120","±217","8,426","±786","757","±182","1,171","±260","2,207","±406","776","±196","433","±133","537","±147","2,511","±317","267","±115","590","±235","396","±112","607","±133","511","±118","2,130","±404"
"        Speak only English","1,591","±295","940","±193","7,591","±770","727","±165","1,114","±251","1,933","±383","768","±194","384","±129","519","±144","2,452","±319","253","±115","586","±234","366","±111","584","±130","452","±111","1,957","±379"
"        Speak Spanish:","32","±31","11","±23","155","±86","16","±24","2","±4","154","±99","4","±6","15","±15","15","±21","13","±21","0","±17","0","±23","0","±26","0","±23","28","±39","15","±18"
"            Speak English ""very well""","32","±31","11","±23","155","±86","16","±24","1","±2","154","±99","4","±6","4","±10","15","±21","13","±21","0","±17","0","±23","0","±26","0","±23","1","±4","15","±18"
"            Speak English less than ""very well""","0","±26","0","±26","0","±26","0","±20","1","±2","0","±26","0","±23","11","±15","0","±26","0","±26","0","±17","0","±23","0","±26","0","±23","27","±39","0","±26"
"        Speak other languages:","171","±84","169","±117","680","±186","14","±24","55","±53","120","±72","4","±4","34","±25","3","±6","46","±36","14","±15","4","±8","30","±31","23","±20","31","±15","158","±90"
"            Speak English ""very well""","108","±53","122","±99","446","±133","14","±24","9","±12","46","±42","4","±4","34","±25","3","±6","28","±28","14","±15","4","±8","19","±25","19","±19","31","±15","158","±90"
"            Speak English less than ""very well""","63","±66","47","±40","234","±149","0","±20","46","±51","74","±53","0","±23","0","±23","0","±26","18","±28","0","±17","0","±23","11","±18","4","±6","0","±23","0","±26"
"    Taxicab, motorcycle, bicycle, or other means:","462","±156","463","±129","2,775","±461","245","±147","292","±92","418","±155","361","±157","180","±75","290","±116","1,093","±254","86","±37","259","±128","228","±80","253","±100","125","±49","1,021","±242"
"        Speak only English","456","±155","431","±127","2,366","±390","245","±147","273","±89","418","±155","304","±137","169","±76","290","±116","1,006","±238","86","±37","190","±88","228","±80","179","±62","125","±49","966","±227"
"        Speak Spanish:","0","±26","0","±26","53","±42","0","±20","0","±26","0","±26","47","±58","8","±8","0","±26","8","±13","0","±17","69","±91","0","±26","48","±57","0","±23","0","±26"
"            Speak English ""very well""","0","±26","0","±26","24","±23","0","±20","0","±26","0","±26","47","±58","0","±23","0","±26","0","±26","0","±17","69","±91","0","±26","48","±57","0","±23","0","±26"
"            Speak English less than ""very well""","0","±26","0","±26","29","±36","0","±20","0","±26","0","±26","0","±23","8","±8","0","±26","8","±13","0","±17","0","±23","0","±26","0","±23","0","±23","0","±26"
"        Speak other languages:","6","±10","32","±19","356","±239","0","±20","19","±24","0","±26","10","±15","3","±4","0","±26","79","±66","0","±17","0","±23","0","±26","26","±26","0","±23","55","±49"
"            Speak English ""very well""","6","±10","30","±19","124","±82","0","±20","19","±24","0","±26","10","±15","0","±23","0","±26","76","±66","0","±17","0","±23","0","±26","26","±26","0","±23","42","±46"
"            Speak English less than ""very well""","0","±26","2","±3","232","±172","0","±20","0","±26","0","±26","0","±23","3","±4","0","±26","3","±5","0","±17","0","±23","0","±26","0","±23","0","±23","13","±20"
"    Worked from home:","3,764","±704","1,113","±181","16,773","±1,435","1,094","±282","2,495","±320","4,162","±559","1,840","±372","1,302","±221","1,663","±273","4,543","±730","386","±112","1,371","±270","1,700","±410","1,879","±334","869","±129","8,732","±871"
"        Speak only English","3,504","±653","914","±162","15,783","±1,412","1,060","±280","2,471","±320","3,984","±564","1,631","±326","1,269","±222","1,611","±267","4,398","±719","359","±108","1,336","±269","1,681","±407","1,621","±275","799","±124","8,064","±805"
"        Speak Spanish:","65","±63","7","±10","276","±148","18","±26","10","±11","12","±19","7","±16","0","±23","39","±39","70","±50","10","±14","8","±13","16","±19","19","±20","36","±42","38","±26"
"            Speak English ""very well""","26","±30","7","±10","276","±148","18","±26","2","±5","12","±19","7","±16","0","±23","39","±39","39","±48","10","±14","8","±13","16","±19","19","±20","35","±42","38","±26"
"            Speak English less than ""very well""","39","±53","0","±26","0","±26","0","±20","8","±9","0","±26","0","±23","0","±23","0","±26","31","±45","0","±17","0","±23","0","±26","0","±23","1","±3","0","±26"
"        Speak other languages:","195","±117","192","±63","714","±270","16","±19","14","±10","166","±102","202","±175","33","±22","13","±16","75","±53","17","±18","27","±31","3","±4","239","±209","34","±22","630","±361"
"            Speak English ""very well""","175","±113","159","±63","551","±210","12","±16","14","±10","153","±100","202","±175","33","±22","10","±16","47","±44","17","±18","27","±31","3","±4","238","±209","24","±18","364","±185"
"            Speak English less than ""very well""","20","±27","33","±33","163","±190","4","±6","0","±26","13","±21","0","±23","0","±23","3","±4","28","±31","0","±17","0","±23","0","±26","1","±2","10","±14","266","±319"